job_title,company_name,location,summary
Data Engineer,Synaptein Solutions,Thousand Oaks. CA,Proven proficiency with scripting languages such as Python. Ruby. and JavaScript. and build tools such as Jenkins. Maven. Ant. Gradle or Ivy.
Data Engineer III,Ursus,Menlo Park. CA 94025+1 location,Experience with ETL processes. extracting data. Building key data sets to empower operational and exploratory analysis.
Data Engineer,Harnham,San Francisco. CA+1 location,Using programming skills to create data pipelines. that can deal with both structured and unstructured data. If you are passionate about data or are keen to get
Associate. Visualization Data Engineer,KPMG,Los Angeles. CA 90071 (Downtown area),Proficient with data management and integration. data engineering concept. design and development. Ability to perform data tasks using a variety of SQL. and
Data Engineer. Growth,Square,San Francisco. CA,Understand and implement data logging best practices to support our data flow. Partner closely with data scientists. business Intelligence analysts and machine
SQL Data Engineer,Thermo Fisher Scientific,Carlsbad. CA 92008,Understand various business needs and requirements for a consistent and flexible set of data rules and standards.
Data Engineer,Navis,Oakland. CA,Developing data infrastructure that ingest & transforms data from different sources. securely and at scale. Leverage API & Microservices architecture for Data
Data Engineer,Deckers Brands,Goleta. CA 93117,Create data pipeline monitoring automation. An understanding of leveraging data storage in Amazon S3. Develop integrations with external resources (sFTP. APIs.
Data Visualization Engineer,Unicorn Technologies. LLC,Oakland. CA•Temporarily Remote,Experience defining and rationalizing complex data models within data warehousing environment. Knowledge of data warehousing and information management best
Data Engineer,Kaiser Permanente,Oakland. CA,You will transform data from data warehouse tables into impactful membership growth initiatives. You will sit at the intersection of data engineering and data
Data Engineer/ETL Engineer,CDM search,Berkeley. CA 94701•Remote,Troubleshoot emergent customer data pipeline issues. Understand the evolving needs of the customer-facing product and data science teams. and how these will be
Data Engineer,Best High technologies,San Jose. CA•Temporarily Remote,Demonstrated ability to analyze large data sets to identify gaps and inconsistencies. provide data insights and advance effective product solutions.
Data Engineer,Yochana IT inc,San Francisco. CA•Temporarily Remote,Major skills required: Tableau. ETL. Informatica and GCP. Skills: All GCP core services. Python. SQL. Big query. Data Warehousing. Data Modelling. ETL. Oracle
