,location,job search,Counts
0,Agoura Hills,data analyst,4
1,Alameda,data scientist,3
2,Alameda,data analyst,1
3,Alamo,data engineer,2
4,Alhambra,data analyst,1
5,Anaheim,data analyst,4
6,Antioch,data analyst,1
7,Atherton,data scientist,2
8,Austin,data engineer,1
9,Bakersfield,data scientist,4
10,Bakersfield,data analyst,1
11,Baldwin Park,data analyst,3
12,Beaumont,data analyst,2
13,Belmont,data scientist,1
14,Berkeley,data analyst,5
15,Berkeley,data engineer,1
16,Beverly Hills,data scientist,2
17,Beverly Hills,data analyst,1
18,Bloomington,data scientist,1
19,Brea,data analyst,1
20,Brisbane,data scientist,3
21,Brisbane,data analyst,1
22,Buena Park,data analyst,1
23,Burbank,data analyst,19
24,Burbank,data scientist,7
25,Burbank,data engineer,5
26,Burlingame,data scientist,3
27,Burlingame,data analyst,1
28,Burlingame,data engineer,1
29,Calabasas,data analyst,3
30,Calabasas,data scientist,3
31,California,data scientist,13
32,California,data analyst,11
33,California,data engineer,8
34,California City,data analyst,2
35,Campbell,data engineer,1
36,Campbell,data scientist,1
37,Carlsbad,data engineer,13
38,Carlsbad,data analyst,7
39,Carlsbad,data scientist,6
40,Carson,data analyst,1
41,Cerritos,data analyst,6
42,Cerritos,data scientist,2
43,Chatsworth,data analyst,4
44,Chatsworth,data engineer,3
45,Chico,data engineer,2
46,China Lake,data analyst,2
47,Chino,data analyst,1
48,Chula Vista,data analyst,1
49,Commerce,data analyst,2
50,Concord,data analyst,2
51,Corona,data analyst,1
52,Costa Mesa,data analyst,14
53,Costa Mesa,data scientist,13
54,Costa Mesa,data engineer,2
55,Culver City,data analyst,4
56,Culver City,data scientist,4
57,Culver City,data engineer,2
58,Cupertino,data analyst,4
59,Cupertino,data scientist,2
60,Cypress,data analyst,2
61,Davis,data engineer,1
62,Diamond Bar,data analyst,3
63,Diamond Bar,data scientist,1
64,Downey,data analyst,1
65,Duarte,data analyst,2
66,Dublin,data analyst,1
67,East Palo Alto,data scientist,2
68,East Palo Alto,data engineer,1
69,Edwards,data analyst,2
70,Edwards AFB,data analyst,2
71,Edwards AFB,data engineer,1
72,El Dorado Hills,data analyst,1
73,El Segundo,data engineer,5
74,El Segundo,data scientist,5
75,El Segundo,data analyst,4
76,Elk Grove,data scientist,2
77,Emeryville,data analyst,2
78,Encinitas,data analyst,1
79,Encino,data scientist,1
80,Escondido,data analyst,1
81,Eureka,data analyst,1
82,Folsom,data engineer,4
83,Folsom,data scientist,3
84,Folsom,data analyst,2
85,Foothill Ranch,data scientist,1
86,Foster City,data engineer,10
87,Foster City,data analyst,7
88,Foster City,data scientist,3
89,Fountain Valley,data analyst,4
90,Fremont,data engineer,14
91,Fremont,data analyst,13
92,Fremont,data scientist,7
93,French Camp,data analyst,2
94,Fresno,data analyst,1
95,Furnace Creek,data scientist,1
96,Gardena,data analyst,2
97,Glendale,data analyst,10
98,Glendale,data scientist,1
99,Goleta,data scientist,2
