lemmatize,pos,Total_Count
data,NNS,1987
experience,NN,418
analysis,NN,215
year,NNS,215
business,NN,179
working,VBG,117
analytics,NNS,117
analyst,NN,114
quality,NN,107
system,NNS,101
analyze,NN,100
sql,NN,97
reporting,NN,95
management,NN,83
support,NN,83
using,VBG,78
team,NN,78
tool,NNS,76
work,NN,71
source,NNS,70
skill,NNS,70
set,NNS,69
including,VBG,68
large,JJ,66
report,NNS,63
insight,NNS,63
visualization,NN,61
develop,VB,59
complex,JJ,58
ability,NN,55
5,CD,54
new,JJ,52
perform,NN,52
strong,JJ,51
research,NN,50
role,NN,50
ensure,VB,50
provide,NN,49
identify,VB,48
advanced,JJ,47
related,JJ,47
analyzing,VBG,45
understanding,VBG,44
knowledge,NN,44
required,VBN,44
analytical,JJ,43
drive,NN,42
modeling,VBG,40
analyst,NNS,40
tableau,NN,40
build,NN,39
product,NN,38
minimum,NN,38
team,NNS,38
detail,NN,37
help,NN,37
process,NNS,37
process,NN,37
within,IN,36
multiple,NN,36
engineering,NN,36
use,NN,36
3,CD,34
bi,NN,34
attention,NN,34
science,NN,34
create,NN,34
various,JJ,33
model,NNS,33
collection,NN,33
technical,JJ,33
excel,NN,32
internal,JJ,32
dashboard,NNS,32
solution,NNS,31
3-5,JJ,30
etl,NN,30
requirement,NNS,30
request,NNS,29
responsible,JJ,29
report,NN,29
mining,NN,29
maintain,NN,28
accuracy,NN,28
system,NN,28
2+,CD,28
stakeholder,NNS,28
field,NN,28
marketing,NN,27
key,NN,27
actionable,JJ,27
database,NN,26
manage,NN,26
problem,NNS,26
collect,NN,26
must,MD,26
need,NNS,26
statistical,JJ,25
performance,NN,25
position,NN,25
preferred,VBN,25
developing,VBG,25
manipulation,NN,25
quantitative,NN,24
across,IN,24
information,NN,24
governance,NN,23
assist,NN,23
3+,CD,23
customer,NN,23
building,NN,23
master,NN,22
design,NN,22
data-driven,JJ,22
development,NN,22
integrity,NN,22
software,NN,22
test,NN,22
issue,NNS,22
entry,NN,22
warehouse,NN,22
ad,NN,21
proficiency,NN,21
relevant,NN,21
expert,NN,21
degree,NN,21
pipeline,NNS,21
closely,RB,21
primary,NN,21
health,NN,21
understand,NN,20
make,VB,20
high,JJ,20
asset,NN,20
2,CD,20
financial,JJ,20
equivalent,NN,20
failure,NN,20
metric,NNS,20
eg,NN,20
analysis,NNS,19
well,RB,19
-,:,19
operation,NNS,19
candidate,NN,19
project,NNS,19
statistic,NNS,19
platform,NNS,19
conduct,NN,19
partner,NNS,19
making,VBG,19
database,NNS,19
environment,NN,19
familiarity,NN,19
via,IN,19
control,NN,19
plus,CC,18
existing,VBG,18
performs,NNS,18
query,NNS,18
writing,VBG,18
learning,VBG,18
technique,NNS,18
focus,NN,17
hoc,NN,17
analytic,JJ,17
investigate,NN,17
validation,NN,17
client,NN,17
meet,NN,17
partner,NN,17
procedure,NNS,17
etc,NN,17
day,NNS,16
expertise,NN,16
translate,NN,16
able,JJ,16
healthcare,NN,16
combination,NN,16
present,NN,16
functional,JJ,16
intelligence,NN,16
solving,VBG,16
warehousing,VBG,16
visualization,NNS,16
technology,NN,16
project,NN,16
r,NN,15
comfort,NN,15
presentation,NN,15
sale,NNS,15
andor,NN,15
python,NN,15
decision,NNS,15
extract,NN,15
result,NNS,14
level,NN,14
trend,NNS,14
collaborate,NN,14
effort,NNS,14
mapping,NN,14
market,NN,14
years’,NN,14
managing,VBG,14
cross-functional,JJ,14
processing,NN,14
product,NNS,14
finding,NNS,13
least,JJS,13
risk,NN,13
provides,VBZ,13
concept,NNS,13
engineer,NNS,13
querying,VBG,13
