lemmatize,pos,Total_Count
data,NNS,1340
experience,NN,236
pipeline,NNS,104
build,NN,80
design,NN,74
engineer,NNS,70
engineering,NN,65
work,NN,56
year,NNS,56
system,NNS,51
analytics,NNS,50
etl,NN,49
working,VBG,46
develop,VB,46
processing,NN,45
quality,NN,45
tool,NNS,44
engineer,NN,44
building,NN,43
team,NN,41
modeling,VBG,40
infrastructure,NN,39
maintain,NN,38
management,NN,38
big,JJ,38
pipeline,NN,36
product,NN,35
model,NNS,34
warehousing,VBG,34
warehouse,NN,33
scientist,NNS,33
source,NNS,32
solution,NNS,32
platform,NN,31
team,NNS,31
large,JJ,31
using,VBG,30
knowledge,NN,30
support,NN,29
set,NNS,29
implement,NN,28
need,NNS,27
process,NNS,27
analyst,NNS,26
understand,NN,25
business,NN,25
software,NN,25
strong,JJ,25
understanding,VBG,24
architecture,NN,23
integration,NN,23
analysis,NN,23
complex,JJ,23
ensure,VB,21
collaborate,NN,21
science,NN,21
create,NN,21
within,IN,19
sql,NN,19
5+,CD,19
scalable,JJ,19
lake,NNS,18
distributed,VBN,18
transformation,NN,18
visualization,NN,17
best,JJS,17
spark,NN,17
practice,NNS,17
provide,NN,17
issue,NNS,17
expertise,NN,17
highly,RB,17
machine,NN,17
scale,NN,17
including,VBG,17
governance,NN,16
storage,NN,16
maintaining,VBG,16
use,NN,16
product,NNS,16
learning,VBG,16
etc,NN,16
across,IN,16
hadoop,NN,15
warehouse,NNS,15
ingestion,NN,15
lake,NN,15
new,JJ,15
python,NN,15
algorithm,NN,14
ability,NN,14
company,NN,14
analyze,NN,14
structure,NNS,14
developing,VBG,13
technical,JJ,13
deep,NN,13
tools:,NN,13
available,JJ,13
service,NNS,13
airflow,NN,13
process,NN,13
schema,NN,13
insight,NNS,13
skill,NNS,13
streaming,VBG,13
closely,RB,12
managing,VBG,12
help,NN,12
workflow,NNS,12
hands-on,NN,12
manager,NNS,12
stakeholder,NNS,12
looking,VBG,12
related,JJ,12
metadata,NNS,11
internal,JJ,11
perform,NN,11
performance,NN,11
required,VBN,11
proficiency,NN,11
platform,NNS,11
plus,CC,11
3+,CD,11
expert,NN,11
transform,NN,11
data-driven,JJ,11
improvement,NNS,11
architect,NN,11
development,NN,11
analyzing,VBG,11
responsible,JJ,10
reporting,NN,10
technology,NNS,10
improve,VB,10
identify,VB,10
candidate,NN,10
high,JJ,10
extraction,NN,10
standard,NNS,10
enable,JJ,10
problem,NNS,10
assist,NN,10
area,NNS,10
api,NN,10
store,NNS,9
move,NN,9
like,IN,9
relevant,NN,9
system,NN,9
security,NN,9
center,NN,9
integration,NNS,9
large-scale,JJ,9
cloud,NN,9
database,NNS,9
real-time,NN,9
database,NN,9
partner,NN,9
must,MD,9
kafka,NN,9
common,JJ,9
framework,NNS,9
core,NN,9
operation,NNS,9
automation,NN,9
familiarity,NN,9
making,VBG,9
make,VB,9
various,JJ,9
workflow,NN,9
requirement,NNS,9
designing,VBG,8
lead,NN,8
interface,NN,8
relational,NN,8
demonstrated,VBN,8
ownership,NN,8
wide,JJ,8
application,NNS,8
advance,NN,8
member,NNS,8
resource,NNS,8
batch,NN,8
training,NN,8
flow,NN,8
manage,NN,8
efficient,NN,8
disparate,NN,8
environment,NN,8
based,VBN,8
reliable,JJ,8
efficiency,NN,8
expert,NNS,8
role,NN,8
delivery,NN,8
project,NNS,8
part,NN,8
empower,NN,7
implementation,NN,7
allocated,VBN,7
monitoring,NN,7
primary,NN,7
multiple,NN,7
key,NN,7
collect,NN,7
ideal,NN,7
architecture,NNS,7
defining,VBG,7
professional,JJ,7
validation,NN,7
reliability,NN,7
medical,JJ,7
integrate,NN,7
contribute,NN,7
aws,NNS,7
technique,NNS,7
performing,VBG,7
creation,NN,7
model,NN,7
network,NN,7
control,NNS,6
analyst,NN,6
translate,NN,6
customer,NNS,6
optimal,JJ,6
optimize,VB,6
optimizing,VBG,6
setting,VBG,6
existing,VBG,6
around,IN,6
strategy,NN,6
loading,VBG,6
master,NN,6
driven,NN,6
apis,NN,6
